fdcId,identifier,identifierType,foodType,foodDescription,value,foodWeight,valueUnit,foodMeasure,measureValue
2710730,95201010,Food Code,Survey (FNDDS),"Nutritional powder mix, sugar free (Carnation Instant Breakfast)",500,20,g,"Quantity not specified",100
2710731,95201200,Food Code,Survey (FNDDS),"Nutritional powder mix (EAS Whey Protein Powder)",256,19.5,g,"1 scoop EAS Whey",49.9
2710731,95201200,Food Code,Survey (FNDDS),"Nutritional powder mix (EAS Whey Protein Powder)",256,39,g,"Quantity not specified",99.8
2710731,95201200,Food Code,Survey (FNDDS),"Nutritional powder mix (EAS Whey Protein Powder)",256,10,g,"1 tablespoon",25.6
2710735,95202000,Food Code,Survey (FNDDS),"Nutritional powder mix (Muscle Milk)",500,35,g,"1 scoop",175
2710735,95202000,Food Code,Survey (FNDDS),"Nutritional powder mix (Muscle Milk)",500,70,g,"Quantity not specified",350
2710733,95201500,Food Code,Survey (FNDDS),"Nutritional powder mix, high protein (Herbalife)",714,12.5,g,"1 scoop",89.2
2710733,95201500,Food Code,Survey (FNDDS),"Nutritional powder mix, high protein (Herbalife)",714,25,g,"Quantity not specified",178
2710729,95201000,Food Code,Survey (FNDDS),"Nutritional powder mix (Carnation Instant Breakfast)",285,37,g,"Quantity not specified",105
2710729,95201000,Food Code,Survey (FNDDS),"Nutritional powder mix (Carnation Instant Breakfast)",285,7.4000000000000003552713678800500929355621337890625,g,"1 tablespoon",21.1
2710729,95201000,Food Code,Survey (FNDDS),"Nutritional powder mix (Carnation Instant Breakfast)",285,37,g,"1 envelope",105
2710728,95120050,Food Code,Survey (FNDDS),"Nutritional drink or shake, liquid, soy-based",135,247,g,"Quantity not specified",333
2710728,95120050,Food Code,Survey (FNDDS),"Nutritional drink or shake, liquid, soy-based",135,370,g,"1 can (12 oz)",500
2710728,95120050,Food Code,Survey (FNDDS),"Nutritional drink or shake, liquid, soy-based",135,247,g,"1 cup",333
2710727,95120020,Food Code,Survey (FNDDS),"Nutritional drink or shake, high protein, light, ready-to-drink, NFS",135,248,g,"Quantity not specified",335
2710727,95120020,Food Code,Survey (FNDDS),"Nutritional drink or shake, high protein, light, ready-to-drink, NFS",135,31,g,"1 fl oz",41.8
2710727,95120020,Food Code,Survey (FNDDS),"Nutritional drink or shake, high protein, light, ready-to-drink, NFS",135,341,g,"1 bottle or box, NFS",460
2710727,95120020,Food Code,Survey (FNDDS),"Nutritional drink or shake, high protein, light, ready-to-drink, NFS",135,248,g,"1 cup",335
2710727,95120020,Food Code,Survey (FNDDS),"Nutritional drink or shake, high protein, light, ready-to-drink, NFS",135,341,g,"1 single serving box (11 fl oz) Myoplex Lite",460
2710726,95120010,Food Code,Survey (FNDDS),"Nutritional drink or shake, high protein, ready-to-drink, NFS",130,544,g,"1 single serving box (17 fl oz) Myoplex",707
2710726,95120010,Food Code,Survey (FNDDS),"Nutritional drink or shake, high protein, ready-to-drink, NFS",130,256,g,"Quantity not specified",333
2710726,95120010,Food Code,Survey (FNDDS),"Nutritional drink or shake, high protein, ready-to-drink, NFS",130,640,g,"1 bottle (20 fl oz) Monster Milk",832
2710726,95120010,Food Code,Survey (FNDDS),"Nutritional drink or shake, high protein, ready-to-drink, NFS",130,32,g,"1 fl oz",41.6
2710726,95120010,Food Code,Survey (FNDDS),"Nutritional drink or shake, high protein, ready-to-drink, NFS",130,544,g,"1 bottle or box, NFS",707
2710726,95120010,Food Code,Survey (FNDDS),"Nutritional drink or shake, high protein, ready-to-drink, NFS",130,448,g,"1 bottle (14 fl oz) Myoplex",582
2710726,95120010,Food Code,Survey (FNDDS),"Nutritional drink or shake, high protein, ready-to-drink, NFS",130,256,g,"1 cup",333
2710725,95120000,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink, NFS",127,31,g,"1 fl oz",39.4
2710725,95120000,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink, NFS",127,248,g,"1 cup",315
2710725,95120000,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink, NFS",127,248,g,"Quantity not specified",315
2710725,95120000,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink, NFS",127,372,g,"1 can (12 fl oz)",472
2710725,95120000,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink, NFS",127,248,g,"1 bottle (8 fl oz)",315
2710724,95110020,Food Code,Survey (FNDDS),"Nutritional drink or shake, high protein, ready-to-drink (Slim Fast)",130,341,g,"Quantity not specified",443
2710724,95110020,Food Code,Survey (FNDDS),"Nutritional drink or shake, high protein, ready-to-drink (Slim Fast)",130,31,g,"1 fl oz",40.3
2710724,95110020,Food Code,Survey (FNDDS),"Nutritional drink or shake, high protein, ready-to-drink (Slim Fast)",130,341,g,"1 can (11 fl oz)",443
2710724,95110020,Food Code,Survey (FNDDS),"Nutritional drink or shake, high protein, ready-to-drink (Slim Fast)",130,248,g,"1 cup",322
2710723,95110010,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink, sugar free (Slim Fast)",161,248,g,"1 cup",399
2710723,95110010,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink, sugar free (Slim Fast)",161,341,g,"Quantity not specified",549
2710723,95110010,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink, sugar free (Slim Fast)",161,31,g,"1 fl oz",49.9
2710723,95110010,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink, sugar free (Slim Fast)",161,341,g,"1 can (11 fl oz)",549
2710718,95103010,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink (Ensure Plus)",79.0,252,g,"1 can",199
2710718,95103010,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink (Ensure Plus)",79.0,31.5,g,"1 fl oz",24.9
2710718,95103010,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink (Ensure Plus)",79.0,252,g,"Quantity not specified",199
2710718,95103010,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink (Ensure Plus)",79.0,252,g,"1 bottle (8 fl oz)",199
2710718,95103010,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink (Ensure Plus)",79.0,252,g,"1 cup",199
2710719,95104000,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink, sugar free (Glucerna)",110,248,g,"1 bottle (8 fl oz)",273
2710719,95104000,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink, sugar free (Glucerna)",110,31,g,"1 fl oz",34.1
2710719,95104000,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink, sugar free (Glucerna)",110,248,g,"Quantity not specified",273
2710719,95104000,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink, sugar free (Glucerna)",110,248,g,"1 can (8 fl oz)",273
2710717,95103000,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink (Ensure)",127,252,g,"1 cup",320
2710717,95103000,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink (Ensure)",127,252,g,"1 bottle (8 fl oz)",320
2710717,95103000,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink (Ensure)",127,31.5,g,"1 fl oz",40.0
2710717,95103000,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink (Ensure)",127,252,g,"Quantity not specified",320
2710721,95106010,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink, light (Muscle Milk)",117,448,g,"1 bottle (14 fl oz)",524
2710721,95106010,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink, light (Muscle Milk)",117,272,g,"Quantity not specified",318
2710721,95106010,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink, light (Muscle Milk)",117,256,g,"1 cup",300
2710721,95106010,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink, light (Muscle Milk)",117,32,g,"1 fl oz",37.4
2710721,95106010,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink, light (Muscle Milk)",117,272,g,"1 single serving box (8.5 fl oz)",318
2710722,95110000,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink (Slim Fast)",161,341,g,"1 can (11 fl oz)",549
2710722,95110000,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink (Slim Fast)",161,31,g,"1 fl oz",49.9
2710722,95110000,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink (Slim Fast)",161,248,g,"1 cup",399
2710722,95110000,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink (Slim Fast)",161,341,g,"Quantity not specified",549
2710720,95106000,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink (Muscle Milk)",69.0,32,g,"1 fl oz",22.1
2710720,95106000,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink (Muscle Milk)",69.0,352,g,"1 single serving box (11 fl oz)",243
2710720,95106000,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink (Muscle Milk)",69.0,352,g,"Quantity not specified",243
2710720,95106000,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink (Muscle Milk)",69.0,256,g,"1 cup",177
2710720,95106000,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink (Muscle Milk)",69.0,544,g,"1 single serving box (17 fl oz)",375
2710720,95106000,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink (Muscle Milk)",69.0,448,g,"1 bottle (14 fl oz)",309
2710716,95102000,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink (Carnation Instant Breakfast)",146,341,g,"Quantity not specified",498
2710716,95102000,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink (Carnation Instant Breakfast)",146,31,g,"1 fl oz",45.3
2710716,95102000,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink (Carnation Instant Breakfast)",146,341,g,"1 bottle (11 fl oz)",498
2710716,95102000,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink (Carnation Instant Breakfast)",146,248,g,"1 cup",362
2710715,95101010,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink (Boost Plus)",135,32,g,"1 fl oz",43.2
2710715,95101010,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink (Boost Plus)",135,256,g,"1 bottle (8 fl oz)",346
2710715,95101010,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink (Boost Plus)",135,256,g,"1 cup",346
2710715,95101010,Food Code,Survey (FNDDS),"Nutritional drink or shake, ready-to-drink (Boost Plus)",135,256,g,"Quantity not specified",346
2710711,94200100,Food Code,Survey (FNDDS),"Water, enhanced, regular",17.0,480,g,"Quantity not specified",81.6
2710711,94200100,Food Code,Survey (FNDDS),"Water, enhanced, regular",17.0,600,g,"1 bottle (20 fl oz)",102
2710711,94200100,Food Code,Survey (FNDDS),"Water, enhanced, regular",17.0,30,g,"1 fl oz",5.10
2710711,94200100,Food Code,Survey (FNDDS),"Water, enhanced, regular",17.0,240,g,"1 cup",40.8
2710710,94100300,Food Code,Survey (FNDDS),"Water beverage, fruit flavored",17.0,180,g,"Quantity not specified",30.6
2710710,94100300,Food Code,Survey (FNDDS),"Water beverage, fruit flavored",17.0,240,g,"1 cup",40.8
2710710,94100300,Food Code,Survey (FNDDS),"Water beverage, fruit flavored",17.0,180,g,"1 Capri Sun pouch",30.6
2710710,94100300,Food Code,Survey (FNDDS),"Water beverage, fruit flavored",17.0,30,g,"1 fl oz",5.10
2710707,94000100,Food Code,Survey (FNDDS),"Water, tap",3.00,110,g,"1 cup ice",3.30
2710707,94000100,Food Code,Survey (FNDDS),"Water, tap",3.00,360,g,"Quantity not specified",10.8
2710707,94000100,Food Code,Survey (FNDDS),"Water, tap",3.00,507,g,"1 bottle (16.9 fl oz) filled with tap water",15.2
2710707,94000100,Food Code,Survey (FNDDS),"Water, tap",3.00,240,g,"1 cup",7.20
2710707,94000100,Food Code,Survey (FNDDS),"Water, tap",3.00,720,g,"1 bottle (24 fl oz) filled with tap water",21.6
2710707,94000100,Food Code,Survey (FNDDS),"Water, tap",3.00,20,g,"1 ice cube",0.600
2710707,94000100,Food Code,Survey (FNDDS),"Water, tap",3.00,30,g,"1 fl oz",0.900
2710707,94000100,Food Code,Survey (FNDDS),"Water, tap",3.00,60,g,"Guideline amount if from a water fountain",1.80
2710708,94100100,Food Code,Survey (FNDDS),"Water, bottled, plain",10.0,30,g,"1 fl oz",3.00
2710708,94100100,Food Code,Survey (FNDDS),"Water, bottled, plain",10.0,360,g,"Quantity not specified",36.0
2710708,94100100,Food Code,Survey (FNDDS),"Water, bottled, plain",10.0,240,g,"1 bottle (8 fl oz)",24.0
2710708,94100100,Food Code,Survey (FNDDS),"Water, bottled, plain",10.0,507,g,"1 bottle (16.9 fl oz or 500 ml)",50.7
2710708,94100100,Food Code,Survey (FNDDS),"Water, bottled, plain",10.0,600,g,"1 bottle (20 fl oz)",60.0
